1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Woody,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Ordered,Advantageous,Rough,Gold,N/A,Smooth,Violet,N/A,Smooth,Green,N/A,Broad,Regular Interval,Cordate (Heart Stem in Cleft),Serate,Sticky,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Flaky,Grey,N/A,Other,Grain,Gravity,Spray,Complex,Small (5-10mm),Oval & Curly,Waxy,Terminal,Sweet,Perennial (Yearly),Rough,Green,Mimicry,4-9,1,Decay,Touch,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Medicinal / Other,Bath,Re-Roll,Non-Edible,N/A,N/A,Edible,Steeped,N/A,
Algae,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Large (1-10m),Colonial Mass,Ordered,Advantageous,Smooth,Violet,N/A,Scaly,Green,N/A,Smooth,Yellow,N/A,None & None,Random Interval,Obcordate (Heart Stem at Point),Sinuate,Waxy & Scaly,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Black,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Mobile,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Mountains,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Random,Fibrous,Smooth,Blue,N/A,Smooth,Orange,N/A,Waxy,Orange,N/A,Compound,Terminal,Falcate (Sickle),Ciliate,VelvetyDusty & Re-Roll,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Orange,N/A,Seeds,Spore,Animal,Other,Disc,Huge (>10cm),Curly,Dusty,Regular Interval,Musky,Perennial (Yearly),Flaky,Silver,Patches,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Crushed,Antifungal,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Blanched,N/A,Medicinal / Other,Fomentation,Antiseptic,
Woody,Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,Radial,Fibrous,Flaky,Yellow & Black,Solid,Waxy,Green,N/A,Rough,White,N/A,Needles,Terminal,Hastatae (Triangular Basal Lobes),Spiny,Sticky,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Rough,Brown & Orange,Stripes,Seeds,Fruit,Animal,Bunches,Spike,Avg. (1-5cm),Curly,Waxy,Random Interval,Sweet,Perennial (Yearly),Smooth,Copper,Blushed,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Disinfectant,Edible,Steeped,N/A,Edible,Boiled,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Random,Tap,Smooth,Orange,N/A,Smooth,Copper,N/A,Smooth,Green,N/A,Needles,Regular Interval,Orbicular (Circular),Lobate,Scaly,None,Whorls (3-5),Rough,Black,N/A,Seeds,Fruit,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Antihydrotic,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,Fibrous,Smooth,Green,N/A,Smooth,Silver,N/A,Smooth,Green,N/A,Broad,Terminal,Hastatae (Triangular Basal Lobes),Undulate & Sinuate,Error: Roll Out of Range,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Smooth,Black,N/A,Suckers,Spore,Animal,Single,Funnel,Huge (>10cm),Toothed,Dusty,Branch Points,Sweet,Perennial (Yearly),Smooth,Green,Iridescent,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Aromatic,Medicinal / Other,Poultice,Laxative,
Algae,Aquatic,Brackish,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Rhizoid,Flaky,Brown,N/A,Rough,White,N/A,Smooth,Blue,N/A,None & None,Terminal,Rhomboid (Diamond),Smooth,Error: Roll Out of Range,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Red,N/A,Budding / Fragmentation,Spore,Animal,Pairs,Bell,Small (5-10mm),Toothed,Scaly,Random Interval,Sweet,Perennial (Yearly),Smooth,Green,Spotted,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Very Common,Large Patch (120+),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Rough,Brown,N/A,Scaly,Grey,N/A,Flaky,Brown,N/A,Needles,Terminal,Hastatae (Triangular Basal Lobes),Serrulate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Flaky,Blue,N/A,Seeds,Nut,Gravity,Bunches,Complex,Avg. (1-5cm),Toothed,Velvety,Random Interval,Sweet,Other,Smooth,Brown,Spotted,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Cold Compress,Galactagogue,Medicinal / Other,Cold Compress,Cathartic,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Cholagouge,Nutritious / Tasty,Boiled,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Very Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Waxy,Green,N/A,Smooth,Grey,N/A,Smooth,Black,N/A,Compound,Random Interval,Lobed (Deeply Indented Margins),Undulate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Smooth,Orange,N/A,Seeds,Grain,Water,Spray,Cone,Avg. (1-5cm),Blade,Velvety,Random Interval,Sweet,Perennial (Yearly),Smooth,Orange,Luminescent,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Wax,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Medicinal / Other,Wash,Cardiac,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Large Patch (120+),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Smooth,White,N/A,Smooth,Brown,N/A,Rough,Green,N/A,Blades,Random Interval,Obtuse (Bluntly Tipped),Denticulate,Hairy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Orange & Silver,Phases,Seeds,Grain,Gravity,Spray,Cone,Small (5-10mm),Toothed,Waxy & Hairy,Regular Interval,Musky,Perennial (Yearly),Other,Copper,Phases,1-3,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Fomentation,Cardiac,Medicinal / Other,Ointment,Emollient,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Grated,Re-Roll,Medicinal / Other,Cold Extract,Hydragogue,
Herbaceous,Terrestrial,Marsh / Swamp / Bog & Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Random,Bulb,Scaly,Black,N/A,Smooth,Black,N/A,Rough,Brown,N/A,Broad,Random Interval,Deltoid (Triangular),Smooth,Sticky,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Smooth,White,N/A,Seeds,Nut,Animal,Pairs,Bell,Small (5-10mm),Blade,Hairy,Random Interval,Sweet,Annual (Once),Smooth,Yellow & Brown,Solid,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Salt Water,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Smooth,Green,N/A,Smooth,Yellow,N/A,Waxy,Copper,N/A,Compound,Regular Interval,Obcordate (Heart Stem at Point),Sinuate,Hairy,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,White,N/A,Seeds,Other,Wind,Compound,Cone,Avg. (1-5cm),Wavy,Waxy,Regular Interval,Sweet,Annual (Once),Smooth,White,Blushed,1-3,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,None,Fibrous,Smooth,Yellow,N/A,Rough,Blue & Green,Stripes,Flaky,Black,N/A,Compound,Random Interval,Obovate (Egg Narrow at Base),Smooth,Scaly,None,Clusters (6+),Waxy,Brown,N/A,Seeds,Fruit,Animal,Single,Disc,Small (5-10mm),Wavy,Dusty,Branch Points,Musky,Annual (Once),Rough,Brown,Phases,10+,0,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Medicinal / Other,Fomentation,Anodyne,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Juice,Mucilaginous,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Tap,Smooth,Copper,N/A,Smooth,Blue,N/A,Waxy,Yellow,N/A,Broad,Random Interval,Pinnatisect (Deep Opposite Lobing),Smooth,Smooth,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Scaly,Green,N/A,Budding / Fragmentation,Fruit,Animal,Other,Bell,Tiny (<5mm),Curly,Velvety,Regular Interval,Foul,Annual (Once),Waxy,Green,Solid,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Extract,Haemostatic,Medicinal / Other,Juice,Disinfectant,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Random,Fibrous,Smooth,Gold,N/A,Smooth,Silver,N/A,Smooth,Brown,N/A,Compound,Terminal,Poly-Foliate (2-7 Leaflets),Sinuate,Scaly,None,Clusters (6+),Waxy,Orange & Brown,Mottled,Budding / Fragmentation,Fruit,Animal,Spray,Complex,Tiny (<5mm),Oval,Hairy,Branch Points,None,Perennial (Yearly),Smooth,Brown,Blushed,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Refridgerant,Non-Edible,N/A,N/A,Medicinal / Other,Powder,Astringent,N/A,N/A,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Roasted,N/A,
Herbaceous,Sub-Terrestrial,Forest / Jungle,Very Rare,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,None,Tap,Smooth,Copper & Gold,Patches,Waxy,Green & Green,Solid,Smooth,Brown,N/A,Compound,Random Interval,Cordate (Heart Stem in Cleft),Undulate,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Smooth,Yellow,N/A,Other,Spore,Animal,Bunches,Disc,Large (5-10cm),Curly,Sticky,Regular Interval,Foul,Poly-Annual (2-7 Years),Smooth,Brown,Solid,4-9,0,Symbiotic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Haemostatic,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Very Rare,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Tap,Smooth,Red,N/A,Smooth,Brown,N/A,Scaly,Gold,N/A,Broad,Terminal,Palmate (Hand-Like),Sinuate,Smooth,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,Gold,N/A,Seeds,Other,Animal,Spray,Spike,Avg. (1-5cm),Curly,Sticky,Branch Points,Foul,Poly-Annual (2-7 Years),Waxy,Grey,Spotted,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Wash,Abortifacient,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Medicinal / Other,Fomentation,Narcotic,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Large Patch (120+),Average (25cm-1m),Creeper Vine,Random,Tap,Smooth,Grey,N/A,Smooth,Black,N/A,Rough,Yellow,N/A,Broad,Branch Points,Pinnatisect (Deep Opposite Lobing),Lobate,Scaly,None,Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Water,Spray,Bell,Avg. (1-5cm),Oval,Dusty,Terminal,Sweet,Annual (Once),Flaky,Grey,Spotted,0,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Boiled,N/A,
Herbaceous,Aquatic,Salt Water,Uncommon,Small Patch (1-12),Large (1-10m),Colonial Mass,Random,Fibrous,Waxy,Green,N/A,Smooth,Green,N/A,Other,Yellow,N/A,Broad,Random Interval,Spear-Shaped (Pointed Barbbed-Base),Serate,Sticky,Reticulate (Smaller Veins Forming a Network),Singles (1),Waxy,Yellow,N/A,Seeds,Fruit,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Crushed,Hydragogue,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Tincture,Bitter Tonic,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,None,Tap,Smooth,Green,N/A,Smooth,Copper,N/A,Smooth,Yellow,N/A,Broad,Terminal & Terminal,Palmate (Hand-Like),Dentate,Hairy,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Waxy,Brown,N/A,Seeds,Fruit,Animal,Pairs,Complex,Avg. (1-5cm),Round,Smooth,Stem / Trunk,Sweet,Annual (Once),Smooth,Brown,Blushed & Translucent,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty & Non-Edible,N/A,N/A,Medicinal / Other,Juice,Hydragogue,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Syrup,Calmative,Medicinal / Other,Infusion,Glue,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Solitary (1-2),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Waxy & Flaky,Red,N/A,Smooth,White,N/A,Smooth,Green,N/A,Broad,Random Interval,Elliptic (Oval Small or No Point),Dentate,Error: Roll Out of Range,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Waxy & Smooth,Green,N/A,Seeds,Fruit,Animal,Pairs,Bell,Small (5-10mm),Wavy,Waxy,Branch Points,Musky,Perennial (Yearly),Flaky,Yellow,Spotted,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Whole,Anesthetic,Medicinal / Other,Poultice,Colorant,N/A,N/A,N/A,Medicinal / Other,Crushed,Abortifacient,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Other,Red,N/A,Waxy,Red,N/A,Smooth,Green,N/A,Broad,Stem / Trunk,Acuminate (Taper to Long Point),Undulate,Sticky,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Flaky,Violet,N/A,Budding / Fragmentation,Grain,Gravity,Bunches,Bell,Small (5-10mm),Thread,Scaly,Regular Interval,Foul,Annual (Once),Smooth,Green,Mottled & Stripes,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Medicinal / Other,Rubbed,Re-Roll,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Juice,Astringent,Non-Edible,N/A,N/A,
Woody,Terrestrial,Mountains,Rare,Large Patch (120+),Average (25cm-1m),Creeper Vine,Ordered,Fibrous,Rough,Grey,N/A,Waxy,Brown & Black,Spotted,Rough,Green,N/A,Compound,Random Interval,Palmate (Hand-Like),Crenate,Sticky,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Rough,Green & Green,Stripes,Seeds,Fruit,Animal,Pairs,Bell,Huge (>10cm),Blade,Smooth,Terminal,Other / Specific,Poly-Annual (2-7 Years),Scaly,Green,Spotted,1-3,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Edible,Ground,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,Edible,Ground,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Rare,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Smooth,Violet,N/A,Rough,Yellow,N/A,Flaky,Violet,N/A,Broad,Terminal,Flabellate (Fan Shaped),Ciliate,Smooth,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Rough,Green,N/A,Seeds,Fruit,Animal,Single,Cone,Huge (>10cm),Curly,Smooth,Terminal,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Mimicry,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Powder,Cardiac,Edible,Dried,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Crushed,Antifungal,
Herbaceous,Aquatic,Fresh Water,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Smooth,Black,N/A,Smooth,White,N/A,Smooth,Green,N/A,Compound,Terminal,Pinnatisect (Deep Opposite Lobing),Serate,Waxy,None,Clusters (6+),Smooth,Brown,N/A,Budding / Fragmentation,Fruit,Animal,Pairs,Cone,Small (5-10mm),Round,Velvety,Branch Points,Sweet,Perennial (Yearly),Smooth,Grey,Spotted,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Edible,Ground,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Tincture,Depressant,
Algae,Aquatic,Salt Water,Common,Solitary (1-2),Average (25cm-1m),Colonial Mass,None,None,Smooth,Silver,N/A,Smooth,Copper,N/A,Smooth,Yellow,N/A,None,Branch Points,Pinnatisect (Deep Opposite Lobing),Lobate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Flaky,Orange,N/A,Budding / Fragmentation,Spore,Other,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Huge (>10m),Creeper Vine,Ordered,Advantageous,Smooth,Black,N/A,Rough,Silver,N/A,Rough,Blue,N/A,Broad,Branch Points,Palmate (Hand-Like),Sinuate,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Rough,Black,N/A,Seeds,Nut,Gravity,Single,Bell,Small (5-10mm),Round,Waxy,Branch Points,Sweet,Annual (Once),Smooth,Green,Iridescent,10+,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Fomentation,Calmative,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Edible,Dried,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Small (5-25cm),Creeper Vine,Random,Fibrous,Smooth,Green,N/A,Smooth,Yellow,N/A,Flaky,Yellow,N/A,Blades,Random Interval,Acuminate (Taper to Long Point),Denticulate,Sticky,None,Singles (1),Smooth & Smooth,Green,N/A,Suckers,Fruit,Animal,Bunches,Cone,Small (5-10mm),Wavy,Hairy,Regular Interval,Sweet,Annual (Once),Waxy,Brown,Mottled,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Ground,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Stimulant,Edible,Steeped,N/A,
Herbaceous,Aquatic,Brackish,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Tubers,Scaly,Yellow,N/A,Scaly,Brown,N/A,Waxy,Black,N/A,Blades,Terminal,Hastatae (Triangular Basal Lobes),Smooth,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Smooth,Copper,N/A,Budding / Fragmentation,Grain,Wind,Spray,Complex,Avg. (1-5cm),Toothed,Waxy,Random Interval,Foul,Poly-Annual (2-7 Years),Waxy,Violet,Night Closing,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ground,Detergent,Nutritious / Tasty,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Colorant,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Rare,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Tap,Waxy,Violet,N/A,Smooth,Grey,N/A,Waxy,Green,N/A,Compound,Terminal,Rhomboid (Diamond),Smooth,Re-Roll & Hairy,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Other,Grey,N/A,Seeds,Grain,Gravity,Other,Spike,Avg. (1-5cm),Blade,Hairy,Random Interval,Sweet,Perennial (Yearly),Waxy,Green,Mimicry,4-9,5+,Decay,Touch,Non-Sentient,N/A,Medicinal / Other,Poultice,Acrid,Medicinal / Other,Syrup,Re-Roll,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Blanched,N/A,Nutritious / Tasty,Dried,N/A,
Woody,Terrestrial,Marsh / Swamp / Bog,Very Rare,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Fibrous,Smooth,Violet,N/A,Rough,Orange,N/A,Smooth,Gold,N/A,Broad,Terminal,Hastatae (Triangular Basal Lobes),Undulate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Green,N/A,Seeds,Nut,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Bath,Hypnotic,
Herbaceous,Terrestrial,Forest / Jungle,Rare,Small Patch (1-12),Large (1-10m),Colonial Mass,None,Rhizoid,Flaky,Gold,N/A,Smooth,Yellow,N/A,Rough,Grey,N/A,Broad,Branch Points,Cordate (Heart Stem in Cleft),Smooth,Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Smooth,Yellow,N/A,Seeds,Grain,Wind,Spray,Disc,Avg. (1-5cm),Wavy & Curly,Hairy,Stem / Trunk,Sweet,Perennial (Yearly),Other,Green,Patches,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ground,Re-Roll,Medicinal / Other,Infusion,Soporific,N/A,N/A,N/A,Edible,Roasted,N/A,Medicinal / Other,Fomentation,Antihydrotic,Edible,Ground,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Common,Large Patch (120+),Small (5-25cm),Multiple Stems / Trunks,Radial,Tap,Smooth,Copper,N/A,Smooth,Green,N/A,Smooth,Copper,N/A,Compound,Branch Points,Obovate (Egg Narrow at Base),Crenate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Smooth,Brown,N/A,Seeds,Spore,Wind,Spray,Funnel,Small (5-10mm),Round & Wavy,Velvety,Branch Points,Sweet,Poly-Annual (2-7 Years),Smooth,Black,Stripes,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Bath,Anodyne,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Deodorant,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Mountains,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Random,Fibrous,Flaky,Orange,N/A,Rough,Grey,N/A,Smooth,Grey,N/A,Compound,Branch Points,Lanceolate (Pointed at Both Ends),Dentate,Smooth,None,Clusters (6+),Flaky,Green & Violet,Solid,Seeds,Grain,Other,Spray,Bell,Avg. (1-5cm),Wavy,Smooth,Regular Interval,Foul,Perennial (Yearly),Smooth,Copper,Blushed,1-3,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Mysical / Other,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Demulcent,Edible,Roasted,N/A,
